cardnumber,surname,firstname,address,country,email,phone,dateofbirth,branchcode,categorycode,dateenrolled,dateexpiry,borrowernotes,password,userid
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
554565441,Шмаль,zzzzzz Иванович,РФ; Томская обл.; г. Томск; ул.Ивана Черных; д.89; кв.38,РОССИЯ,test@tpu.ru,+79969370000,1999-01-01,TPU,ST,2021-09-01,2022-11-01,jksjdlkfjslkdf; sdfkjs; sdkfjs; sdkfjs; sdkofj; sdfjk; smksld; ,Ise-12334122,554565441
